epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.871,0.68423,2.7161,1.28266,0.75007,0.66608,0.74297,0.63397,0.53297,0.95241,1.15184,3.79437e-05,3.79437e-05,3.79437e-05
2,788.911,0.59677,1.24076,1.18775,0.82784,0.81743,0.91356,0.7865,0.51329,0.69066,1.12012,7.21845e-05,7.21845e-05,7.21845e-05
3,1174.28,0.58028,0.97687,1.17066,0.85734,0.87499,0.94758,0.82183,0.49841,0.58936,1.11765,0.000102663,0.000102663,0.000102663
4,1563.42,0.56714,0.84904,1.15666,0.90396,0.86841,0.96027,0.85254,0.46277,0.4821,1.07211,9.7071e-05,9.7071e-05,9.7071e-05
5,1953.48,0.53899,0.72584,1.13379,0.92805,0.92546,0.98499,0.87764,0.44096,0.40786,1.03928,9.1428e-05,9.1428e-05,9.1428e-05
6,2342.97,0.52564,0.66661,1.12542,0.93867,0.95313,0.98193,0.87889,0.43825,0.36495,1.03214,8.5785e-05,8.5785e-05,8.5785e-05
7,2732.06,0.50524,0.59828,1.11016,0.8834,0.98181,0.98595,0.89329,0.40392,0.32116,1.01616,8.0142e-05,8.0142e-05,8.0142e-05
8,3123.49,0.48922,0.55905,1.09968,0.94724,0.97191,0.99161,0.90661,0.38561,0.31469,0.98302,7.4499e-05,7.4499e-05,7.4499e-05
9,3514.75,0.47546,0.52169,1.09041,0.94314,0.97586,0.98515,0.89962,0.38535,0.29783,0.97269,6.8856e-05,6.8856e-05,6.8856e-05
10,3900.44,0.4582,0.48529,1.07415,0.94931,0.98051,0.99335,0.90582,0.38219,0.27821,0.97103,6.3213e-05,6.3213e-05,6.3213e-05
11,4284.92,0.31503,0.29499,1.00858,0.96185,0.97618,0.9924,0.91735,0.35924,0.27227,0.954,5.757e-05,5.757e-05,5.757e-05
12,4675.31,0.29381,0.26085,0.98937,0.96979,0.96977,0.99236,0.93023,0.32334,0.24716,0.91616,5.1927e-05,5.1927e-05,5.1927e-05
13,5065.98,0.27671,0.23362,0.97564,0.95829,0.98478,0.99317,0.9378,0.31657,0.22524,0.9089,4.6284e-05,4.6284e-05,4.6284e-05
14,5454.36,0.26249,0.21425,0.96179,0.97312,0.9804,0.99239,0.94444,0.30342,0.21587,0.89339,4.0641e-05,4.0641e-05,4.0641e-05
15,5843.91,0.25066,0.19283,0.95214,0.96516,0.98278,0.99469,0.9516,0.28389,0.20035,0.87166,3.4998e-05,3.4998e-05,3.4998e-05
16,6233.92,0.23552,0.1809,0.94142,0.97402,0.98,0.99173,0.94849,0.27897,0.19618,0.86507,2.9355e-05,2.9355e-05,2.9355e-05
17,6621.24,0.22312,0.16754,0.92892,0.9544,0.99458,0.99365,0.95918,0.26712,0.18797,0.85382,2.3712e-05,2.3712e-05,2.3712e-05
18,7009.78,0.21214,0.1583,0.92018,0.98067,0.98917,0.99444,0.96399,0.25434,0.16981,0.84153,1.8069e-05,1.8069e-05,1.8069e-05
19,7394.57,0.20385,0.14612,0.91556,0.97698,0.98387,0.99305,0.96427,0.24709,0.16839,0.83394,1.2426e-05,1.2426e-05,1.2426e-05
20,7781.47,0.1955,0.13777,0.90688,0.97471,0.98614,0.99198,0.96632,0.2383,0.15941,0.82611,6.783e-06,6.783e-06,6.783e-06
